strata,time,n.risk,pct.risk,n.event,cum.n.event,n.censor,cum.n.censor,strata_size,elig_date
elig_date=2020-12-08,0,57937,100,0,0,0,0,57937,2020-12-08
elig_date=2020-12-08,4,45233,78,10265,10265,2881,2881,57937,2020-12-08
elig_date=2020-12-08,8,39719,69,3901,14166,1290,4171,57937,2020-12-08
elig_date=2020-12-08,12,37389,65,1526,15692,763,4934,57937,2020-12-08
elig_date=2020-12-08,16,35808,62,965,16657,593,5527,57937,2020-12-08
elig_date=2020-12-08,20,34657,60,630,17287,499,6026,57937,2020-12-08
elig_date=2020-12-08,24,33795,58,388,17675,467,6493,57937,2020-12-08
elig_date=2020-12-08,28,33070,57,216,17891,497,6990,57937,2020-12-08
elig_date=2021-03-19,0,156549,100,0,0,0,0,156549,2021-03-19
elig_date=2021-03-19,4,149517,96,6265,6265,1023,1023,156549,2021-03-19
elig_date=2021-03-19,8,144724,92,3948,10213,726,1749,156549,2021-03-19
elig_date=2021-03-19,12,141617,90,2413,12626,639,2388,156549,2021-03-19
elig_date=2021-03-19,16,0,0,790,13416,140745,143133,156549,2021-03-19
elig_date=2021-03-19,20,0,0,0,13416,0,143133,156549,2021-03-19
elig_date=2021-03-19,24,0,0,0,13416,0,143133,156549,2021-03-19
elig_date=2021-03-19,28,0,0,0,13416,0,143133,156549,2021-03-19
elig_date=2021-05-13,0,138668,100,0,0,0,0,138668,2021-05-13
elig_date=2021-05-13,4,134336,97,3808,3808,665,665,138668,2021-05-13
elig_date=2021-05-13,8,0,0,1399,5207,132796,133461,138668,2021-05-13
elig_date=2021-05-13,12,0,0,0,5207,0,133461,138668,2021-05-13
elig_date=2021-05-13,16,0,0,0,5207,0,133461,138668,2021-05-13
elig_date=2021-05-13,20,0,0,0,5207,0,133461,138668,2021-05-13
elig_date=2021-05-13,24,0,0,0,5207,0,133461,138668,2021-05-13
elig_date=2021-05-13,28,0,0,0,5207,0,133461,138668,2021-05-13
elig_date=2021-05-19,0,150488,100,0,0,0,0,150488,2021-05-19
elig_date=2021-05-19,4,145837,97,4153,4153,683,683,150488,2021-05-19
elig_date=2021-05-19,8,0,0,891,5044,144761,145444,150488,2021-05-19
elig_date=2021-05-19,12,0,0,0,5044,0,145444,150488,2021-05-19
elig_date=2021-05-19,16,0,0,0,5044,0,145444,150488,2021-05-19
elig_date=2021-05-19,20,0,0,0,5044,0,145444,150488,2021-05-19
elig_date=2021-05-19,24,0,0,0,5044,0,145444,150488,2021-05-19
elig_date=2021-05-19,28,0,0,0,5044,0,145444,150488,2021-05-19
elig_date=2021-05-21,0,160892,100,0,0,0,0,160892,2021-05-21
elig_date=2021-05-21,4,155789,97,4572,4572,747,747,160892,2021-05-21
elig_date=2021-05-21,8,0,0,710,5282,154863,155610,160892,2021-05-21
elig_date=2021-05-21,12,0,0,0,5282,0,155610,160892,2021-05-21
elig_date=2021-05-21,16,0,0,0,5282,0,155610,160892,2021-05-21
elig_date=2021-05-21,20,0,0,0,5282,0,155610,160892,2021-05-21
elig_date=2021-05-21,24,0,0,0,5282,0,155610,160892,2021-05-21
elig_date=2021-05-21,28,0,0,0,5282,0,155610,160892,2021-05-21
elig_date=2021-05-25,0,170557,100,0,0,0,0,170557,2021-05-25
elig_date=2021-05-25,4,164677,97,5304,5304,760,760,170557,2021-05-25
elig_date=2021-05-25,8,0,0,159,5463,164334,165094,170557,2021-05-25
elig_date=2021-05-25,12,0,0,0,5463,0,165094,170557,2021-05-25
elig_date=2021-05-25,16,0,0,0,5463,0,165094,170557,2021-05-25
elig_date=2021-05-25,20,0,0,0,5463,0,165094,170557,2021-05-25
elig_date=2021-05-25,24,0,0,0,5463,0,165094,170557,2021-05-25
elig_date=2021-05-25,28,0,0,0,5463,0,165094,170557,2021-05-25
elig_date=2021-05-26,0,171983,100,0,0,0,0,171983,2021-05-26
elig_date=2021-05-26,4,165668,96,5727,5727,776,776,171983,2021-05-26
elig_date=2021-05-26,8,0,0,0,5727,165480,166256,171983,2021-05-26
elig_date=2021-05-26,12,0,0,0,5727,0,166256,171983,2021-05-26
elig_date=2021-05-26,16,0,0,0,5727,0,166256,171983,2021-05-26
elig_date=2021-05-26,20,0,0,0,5727,0,166256,171983,2021-05-26
elig_date=2021-05-26,24,0,0,0,5727,0,166256,171983,2021-05-26
elig_date=2021-05-26,28,0,0,0,5727,0,166256,171983,2021-05-26
